"dname"	"task"	"irep"	"kfname"	"acc"	"label"
"116"	"eubm"	"age"	16	"dot_svdsq2"	0.65	"learned weight (svd)"
"117"	"eubm"	"age"	17	"dot_svdsq2"	0.6	"learned weight (svd)"
"118"	"eubm"	"age"	18	"dot_svdsq2"	0.63	"learned weight (svd)"
"119"	"eubm"	"age"	19	"dot_svdsq2"	0.64	"learned weight (svd)"
"120"	"eubm"	"age"	20	"dot_svdsq2"	0.64	"learned weight (svd)"
"121"	"eubm"	"age"	21	"dot_svdsq2"	0.66	"learned weight (svd)"
"122"	"eubm"	"age"	22	"dot_svdsq2"	0.71	"learned weight (svd)"
"123"	"eubm"	"age"	23	"dot_svdsq2"	0.59	"learned weight (svd)"
"124"	"eubm"	"age"	24	"dot_svdsq2"	0.62	"learned weight (svd)"
"125"	"eubm"	"age"	25	"dot_svdsq2"	0.68	"learned weight (svd)"
"126"	"eubm"	"age"	26	"dot_svdsq2"	0.68	"learned weight (svd)"
"127"	"eubm"	"age"	27	"dot_svdsq2"	0.61	"learned weight (svd)"
"128"	"eubm"	"age"	28	"dot_svdsq2"	0.67	"learned weight (svd)"
"129"	"eubm"	"age"	29	"dot_svdsq2"	0.66	"learned weight (svd)"
"130"	"eubm"	"age"	30	"dot_svdsq2"	0.62	"learned weight (svd)"
"131"	"eubm"	"age"	31	"dot_svdsq2"	0.65	"learned weight (svd)"
"132"	"eubm"	"age"	32	"dot_svdsq2"	0.66	"learned weight (svd)"
"133"	"eubm"	"age"	33	"dot_svdsq2"	0.59	"learned weight (svd)"
"134"	"eubm"	"age"	34	"dot_svdsq2"	0.7	"learned weight (svd)"
"135"	"eubm"	"age"	35	"dot_svdsq2"	0.57	"learned weight (svd)"
"136"	"eubm"	"age"	36	"dot_svdsq2"	0.72	"learned weight (svd)"
"137"	"eubm"	"age"	37	"dot_svdsq2"	0.73	"learned weight (svd)"
"138"	"eubm"	"age"	38	"dot_svdsq2"	0.7	"learned weight (svd)"
"139"	"eubm"	"age"	39	"dot_svdsq2"	0.68	"learned weight (svd)"
"140"	"eubm"	"age"	40	"dot_svdsq2"	0.59	"learned weight (svd)"
"141"	"eubm"	"age"	41	"dot_svdsq2"	0.5	"learned weight (svd)"
"142"	"eubm"	"age"	42	"dot_svdsq2"	0.71	"learned weight (svd)"
"143"	"eubm"	"age"	43	"dot_svdsq2"	0.59	"learned weight (svd)"
"144"	"eubm"	"age"	44	"dot_svdsq2"	0.59	"learned weight (svd)"
"145"	"eubm"	"age"	45	"dot_svdsq2"	0.58	"learned weight (svd)"
"146"	"eubm"	"age"	46	"dot_svdsq2"	0.56	"learned weight (svd)"
"147"	"eubm"	"age"	47	"dot_svdsq2"	0.59	"learned weight (svd)"
"148"	"eubm"	"age"	48	"dot_svdsq2"	0.69	"learned weight (svd)"
"149"	"eubm"	"age"	49	"dot_svdsq2"	0.66	"learned weight (svd)"
"150"	"eubm"	"age"	50	"dot_svdsq2"	0.64	"learned weight (svd)"
"151"	"eubm"	"age"	1	"dot_wken_dcg_add"	0.62	"add weight (log)"
"152"	"eubm"	"age"	2	"dot_wken_dcg_add"	0.51	"add weight (log)"
"153"	"eubm"	"age"	3	"dot_wken_dcg_add"	0.59	"add weight (log)"
"154"	"eubm"	"age"	4	"dot_wken_dcg_add"	0.56	"add weight (log)"
"155"	"eubm"	"age"	5	"dot_wken_dcg_add"	0.69	"add weight (log)"
"156"	"eubm"	"age"	6	"dot_wken_dcg_add"	0.56	"add weight (log)"
"157"	"eubm"	"age"	7	"dot_wken_dcg_add"	0.62	"add weight (log)"
"158"	"eubm"	"age"	8	"dot_wken_dcg_add"	0.69	"add weight (log)"
"159"	"eubm"	"age"	9	"dot_wken_dcg_add"	0.57	"add weight (log)"
"160"	"eubm"	"age"	10	"dot_wken_dcg_add"	0.63	"add weight (log)"
"161"	"eubm"	"age"	11	"dot_wken_dcg_add"	0.67	"add weight (log)"
"162"	"eubm"	"age"	12	"dot_wken_dcg_add"	0.65	"add weight (log)"
"163"	"eubm"	"age"	13	"dot_wken_dcg_add"	0.61	"add weight (log)"
"164"	"eubm"	"age"	14	"dot_wken_dcg_add"	0.66	"add weight (log)"
"165"	"eubm"	"age"	15	"dot_wken_dcg_add"	0.62	"add weight (log)"
"166"	"eubm"	"age"	16	"dot_wken_dcg_add"	0.65	"add weight (log)"
"167"	"eubm"	"age"	17	"dot_wken_dcg_add"	0.58	"add weight (log)"
"168"	"eubm"	"age"	18	"dot_wken_dcg_add"	0.62	"add weight (log)"
"169"	"eubm"	"age"	19	"dot_wken_dcg_add"	0.61	"add weight (log)"
"170"	"eubm"	"age"	20	"dot_wken_dcg_add"	0.66	"add weight (log)"
"171"	"eubm"	"age"	21	"dot_wken_dcg_add"	0.64	"add weight (log)"
"172"	"eubm"	"age"	22	"dot_wken_dcg_add"	0.64	"add weight (log)"
"173"	"eubm"	"age"	23	"dot_wken_dcg_add"	0.59	"add weight (log)"
"174"	"eubm"	"age"	24	"dot_wken_dcg_add"	0.63	"add weight (log)"
"175"	"eubm"	"age"	25	"dot_wken_dcg_add"	0.68	"add weight (log)"
"176"	"eubm"	"age"	26	"dot_wken_dcg_add"	0.59	"add weight (log)"
"177"	"eubm"	"age"	27	"dot_wken_dcg_add"	0.63	"add weight (log)"
"178"	"eubm"	"age"	28	"dot_wken_dcg_add"	0.59	"add weight (log)"
"179"	"eubm"	"age"	29	"dot_wken_dcg_add"	0.59	"add weight (log)"
"180"	"eubm"	"age"	30	"dot_wken_dcg_add"	0.65	"add weight (log)"
"181"	"eubm"	"age"	31	"dot_wken_dcg_add"	0.69	"add weight (log)"
"182"	"eubm"	"age"	32	"dot_wken_dcg_add"	0.66	"add weight (log)"
"183"	"eubm"	"age"	33	"dot_wken_dcg_add"	0.59	"add weight (log)"
"184"	"eubm"	"age"	34	"dot_wken_dcg_add"	0.71	"add weight (log)"
"185"	"eubm"	"age"	35	"dot_wken_dcg_add"	0.61	"add weight (log)"
"186"	"eubm"	"age"	36	"dot_wken_dcg_add"	0.7	"add weight (log)"
"187"	"eubm"	"age"	37	"dot_wken_dcg_add"	0.73	"add weight (log)"
"188"	"eubm"	"age"	38	"dot_wken_dcg_add"	0.7	"add weight (log)"
"189"	"eubm"	"age"	39	"dot_wken_dcg_add"	0.65	"add weight (log)"
"190"	"eubm"	"age"	40	"dot_wken_dcg_add"	0.61	"add weight (log)"
"191"	"eubm"	"age"	41	"dot_wken_dcg_add"	0.49	"add weight (log)"
"192"	"eubm"	"age"	42	"dot_wken_dcg_add"	0.66	"add weight (log)"
"193"	"eubm"	"age"	43	"dot_wken_dcg_add"	0.62	"add weight (log)"
"194"	"eubm"	"age"	44	"dot_wken_dcg_add"	0.66	"add weight (log)"
"195"	"eubm"	"age"	45	"dot_wken_dcg_add"	0.65	"add weight (log)"
"196"	"eubm"	"age"	46	"dot_wken_dcg_add"	0.54	"add weight (log)"
"197"	"eubm"	"age"	47	"dot_wken_dcg_add"	0.57	"add weight (log)"
"198"	"eubm"	"age"	48	"dot_wken_dcg_add"	0.65	"add weight (log)"
"199"	"eubm"	"age"	49	"dot_wken_dcg_add"	0.66	"add weight (log)"
"200"	"eubm"	"age"	50	"dot_wken_dcg_add"	0.61	"add weight (log)"
"201"	"eubm"	"age"	1	"dot_wken_dcg_mult"	0.58	"mult weight (log)"
"202"	"eubm"	"age"	2	"dot_wken_dcg_mult"	0.53	"mult weight (log)"
"203"	"eubm"	"age"	3	"dot_wken_dcg_mult"	0.6	"mult weight (log)"
"204"	"eubm"	"age"	4	"dot_wken_dcg_mult"	0.61	"mult weight (log)"
"205"	"eubm"	"age"	5	"dot_wken_dcg_mult"	0.69	"mult weight (log)"
"206"	"eubm"	"age"	6	"dot_wken_dcg_mult"	0.57	"mult weight (log)"
"207"	"eubm"	"age"	7	"dot_wken_dcg_mult"	0.56	"mult weight (log)"
"208"	"eubm"	"age"	8	"dot_wken_dcg_mult"	0.68	"mult weight (log)"
"209"	"eubm"	"age"	9	"dot_wken_dcg_mult"	0.55	"mult weight (log)"
"210"	"eubm"	"age"	10	"dot_wken_dcg_mult"	0.62	"mult weight (log)"
"211"	"eubm"	"age"	11	"dot_wken_dcg_mult"	0.66	"mult weight (log)"
"212"	"eubm"	"age"	12	"dot_wken_dcg_mult"	0.61	"mult weight (log)"
"213"	"eubm"	"age"	13	"dot_wken_dcg_mult"	0.62	"mult weight (log)"
"214"	"eubm"	"age"	14	"dot_wken_dcg_mult"	0.64	"mult weight (log)"
"215"	"eubm"	"age"	15	"dot_wken_dcg_mult"	0.62	"mult weight (log)"
"216"	"eubm"	"age"	16	"dot_wken_dcg_mult"	0.62	"mult weight (log)"
"217"	"eubm"	"age"	17	"dot_wken_dcg_mult"	0.56	"mult weight (log)"
"218"	"eubm"	"age"	18	"dot_wken_dcg_mult"	0.62	"mult weight (log)"
"219"	"eubm"	"age"	19	"dot_wken_dcg_mult"	0.61	"mult weight (log)"
"220"	"eubm"	"age"	20	"dot_wken_dcg_mult"	0.62	"mult weight (log)"
"221"	"eubm"	"age"	21	"dot_wken_dcg_mult"	0.6	"mult weight (log)"
"222"	"eubm"	"age"	22	"dot_wken_dcg_mult"	0.64	"mult weight (log)"
"223"	"eubm"	"age"	23	"dot_wken_dcg_mult"	0.6	"mult weight (log)"
"224"	"eubm"	"age"	24	"dot_wken_dcg_mult"	0.64	"mult weight (log)"
"225"	"eubm"	"age"	25	"dot_wken_dcg_mult"	0.66	"mult weight (log)"
"226"	"eubm"	"age"	26	"dot_wken_dcg_mult"	0.64	"mult weight (log)"
